,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,-15.21,64.25,800,Clear,clear sky,01n,stations,268.6,1019.12,78,268.6,268.6,,4.68,331.309,0,1569906499,,,0.0069,IS,1569913714,1569954752,0,2630299,Hofn,200,1019.12,921.32,,,,,,hofn
1,-73.76,-42.48,801,Clouds,few clouds,02n,stations,275.15,1015,100,275.15,275.15,10000,2.1,260,20,1569906499,1,8512,0.0054,CL,1569925716,1569970846,-10800,3896218,Castro,200,,,,,,,,castro
1,-68.31,-54.81,804,Clouds,overcast clouds,04n,stations,274.15,1000,80,274.15,274.15,5000,6.7,230,90,1569906286,1,8303,0.007,AR,1569923952,1569969995,-10800,3833367,Ushuaia,200,,,,,,,,ushuaia
1,-6.81,61.47,500,Rain,light rain,10n,stations,279.7,1011.01,72,279.7,279.7,,9.4,357.708,92,1569906500,,,0.0094,FO,1569911562,1569952872,3600,2610806,Vagur,200,1011.01,1010.28,,,,0.187,,vagur
1,54.1,17.01,803,Clouds,broken clouds,04d,stations,300.15,1012,74,300.15,300.15,10000,4.1,210,75,1569906500,1,7562,0.0062,OM,1569896015,1569939189,14400,286621,Salalah,200,,,,,,,,salalah
1,115.35,-33.64,800,Clear,clear sky,01d,stations,295.1,1013,35,294.82,295.37,,2.19,310.891,0,1569906501,3,2011706,0.0062,AU,1569880594,1569925217,28800,2075265,Busselton,200,,,,,,,,busselton
1,114.09,71.97,804,Clouds,overcast clouds,04d,stations,271.8,1011.38,89,271.8,271.8,,4.74,326.678,97,1569906501,,,0.006,RU,1569883144,1569923271,32400,2017155,Saskylakh,200,1011.38,1000.98,,,,,,saskylakh
1,-46.05,60.91,803,Clouds,broken clouds,04n,stations,284.15,1010,29,284.15,284.15,,12.9,60,52,1569906501,1,47,0.0056,GL,1569920972,1569962293,-7200,3421719,Narsaq,200,,,,,,,,narsaq
1,169.85,-46.28,803,Clouds,broken clouds,04d,stations,282.04,1006,55,282.04,282.04,,3.13,248,80,1569906502,3,2000217,0.0064,NZ,1569867213,1569912444,46800,2208248,Kaitangata,200,,,,7.6,,,,kaitangata
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,tabiauea
